,,,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,09/01/2022,,,,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022,10/01/2022
State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered),State_Code,State,District,Total Doses Administered,Sessions,Sites,First Dose Administered,Second Dose Administered,Male(Doses Administered),Female(Doses Administered),Transgender(Doses Administered),Covaxin (Doses Administered),Covishield (Doses Administered)
AR,Arunachal Pradesh,Tirap,58314,0,0,32595,25719,32439,25859,16,583,57731,AR,Arunachal Pradesh,Tirap,58834.0,1450.0,7.0,33048.0,25769.0,32713.0,26088.0,16.0,1009.0,57825.0
AR,Arunachal Pradesh,Upper Siang,36270,0,0,20026,16244,19514,16754,2,623,35647,AR,Arunachal Pradesh,Upper Siang,36569.0,1400.0,5.0,20210.0,16275.0,19625.0,16858.0,2.0,754.0,35815.0
AR,Arunachal Pradesh,Upper Subansiri,45456,0,0,25391,20065,24132,21317,7,43,45413,AR,Arunachal Pradesh,Upper Subansiri,45554.0,850.0,3.0,25461.0,20091.0,24188.0,21357.0,7.0,110.0,45444.0
AR,Arunachal Pradesh,West Kameng,107644,50,1,59833,47811,59562,48043,39,2578,105066,AR,Arunachal Pradesh,West Kameng,108237.0,1810.0,11.0,60027.0,47908.0,59714.0,48182.0,39.0,2741.0,105496.0
AR,Arunachal Pradesh,West Siang,67008,180,1,36446,30562,35773,31227,8,1816,65192,AR,Arunachal Pradesh,West Siang,67263.0,732.0,6.0,36587.0,30615.0,35871.0,31323.0,8.0,1894.0,65369.0
AS,Assam,Baksa,1065964,5999,17,636075,429889,516421,549347,196,80066,985898,AS,Assam,Baksa,1071900.0,99231.0,105.0,637418.0,434410.0,519548.0,552083.0,197.0,81216.0,990684.0
AS,Assam,Barpeta,2189219,27137,57,1209945,979274,1068863,1120069,287,949590,1239629,AS,Assam,Barpeta,2202901.0,263290.0,267.0,1214471.0,987735.0,1075653.0,1126265.0,288.0,956847.0,1246054.0
AS,Assam,Biswanath,859121,23160,49,506353,352768,415211,443797,113,43983,815138,AS,Assam,Biswanath,861893.0,16629.0,54.0,506703.0,354817.0,416522.0,444885.0,113.0,44178.0,817715.0
AS,Assam,Bongaigaon,970279,78534,95,547996,422283,476776,493344,159,61524,908755,AS,Assam,Bongaigaon,975166.0,91350.0,94.0,548918.0,426002.0,479175.0,495586.0,159.0,62445.0,912721.0
AS,Assam,Cachar,2031888,32865,46,1200513,831375,1003973,1027637,278,178011,1853877,AS,Assam,Cachar,2044341.0,88764.0,116.0,1206974.0,837002.0,1009943.0,1033753.0,280.0,184234.0,1860107.0
AS,Assam,Charaideo,574341,37854,51,348202,226139,280377,293901,63,28188,546153,AS,Assam,Charaideo,577277.0,47030.0,62.0,348845.0,228370.0,281843.0,295308.0,64.0,28669.0,548608.0
AS,Assam,Chirang,533263,3373,15,321828,211435,268589,264612,62,35461,497802,AS,Assam,Chirang,537327.0,18239.0,81.0,323473.0,213799.0,270673.0,266535.0,64.0,36738.0,500589.0
AS,Assam,Darrang,1123424,28648,33,667890,455534,550040,573230,154,63349,1060075,AS,Assam,Darrang,1130485.0,108818.0,121.0,669440.0,460893.0,553816.0,576363.0,154.0,64628.0,1065857.0
AS,Assam,Dhemaji,825090,301,1,486790,338300,397726,427229,135,80256,744834,AS,Assam,Dhemaji,829326.0,31414.0,101.0,487868.0,341333.0,399784.0,429282.0,135.0,81246.0,748080.0
AS,Assam,Dhubri,1843363,67603,113,1069428,773935,913276,929873,214,54539,1788824,AS,Assam,Dhubri,1855018.0,89330.0,146.0,1070971.0,783743.0,919079.0,935421.0,214.0,54794.0,1800224.0
AS,Assam,Dibrugarh,1779965,22330,63,1013633,766332,875487,904251,227,114480,1665485,AS,Assam,Dibrugarh,1790631.0,59982.0,105.0,1018355.0,771576.0,880682.0,909021.0,228.0,118231.0,1672400.0
AS,Assam,Dima Hasao,233607,4094,10,141777,91830,126610,106935,62,49476,184131,AS,Assam,Dima Hasao,234979.0,12325.0,35.0,142274.0,92692.0,127347.0,107557.0,62.0,50160.0,184819.0
AS,Assam,Goalpara,1261585,1361,4,738378,523207,614344,647047,194,52033,1209552,AS,Assam,Goalpara,1268913.0,92482.0,137.0,740379.0,528428.0,618170.0,650443.0,194.0,53668.0,1215245.0
AS,Assam,Golaghat,1375925,3461,14,799428,576497,679793,695898,234,119493,1256432,AS,Assam,Golaghat,1385436.0,24064.0,102.0,803887.0,581433.0,684476.0,700610.0,234.0,124397.0,1261039.0
AS,Assam,Hailakandi,785856,14790,40,463821,322035,396911,388777,168,48779,737077,AS,Assam,Hailakandi,789045.0,27374.0,62.0,465129.0,323658.0,398430.0,390189.0,168.0,50112.0,738933.0
AS,Assam,Hojai,1216889,67783,94,675274,541615,582223,634484,182,214548,1002341,AS,Assam,Hojai,1222576.0,115489.0,117.0,676311.0,545981.0,585040.0,637070.0,182.0,216363.0,1006213.0
AS,Assam,Jorhat,1300769,5015,28,733398,567371,638433,662145,191,90105,1210664,AS,Assam,Jorhat,1308247.0,26334.0,99.0,736202.0,571795.0,642365.0,665440.0,192.0,93161.0,1215086.0
AS,Assam,Kamrup Metropolitan,2507784,27069,23,1348576,1159208,1393398,1113911,475,347701,2160083,AS,Assam,Kamrup Metropolitan,2525782.0,107318.0,117.0,1356894.0,1167540.0,1403184.0,1120771.0,479.0,355682.0,2170100.0
AS,Assam,Kamrup,2152172,1910,5,1233172,919000,1066617,1085283,272,248821,1900965,AS,Assam,Kamrup,2167568.0,47597.0,160.0,1237561.0,929892.0,1075048.0,1092130.0,275.0,254249.0,1910932.0
AS,Assam,Karbi Anglong,669708,72381,72,407404,262304,335134,334490,84,259174,410534,AS,Assam,Karbi Anglong,676603.0,74187.0,74.0,410411.0,265885.0,338594.0,337618.0,84.0,264297.0,412306.0
AS,Assam,Karimganj,1281684,97970,51,750922,530762,615498,666026,160,63732,1217952,AS,Assam,Karimganj,1291914.0,285286.0,132.0,752892.0,538928.0,619985.0,671675.0,160.0,65230.0,1226684.0
AS,Assam,Kokrajhar,961311,10430,28,586090,375221,477573,483634,104,49683,911628,AS,Assam,Kokrajhar,968403.0,39340.0,87.0,588589.0,379762.0,480966.0,487281.0,104.0,52054.0,916349.0
