State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
Bihar,Nawada,938474,2845,1084922,Bihar,Nawada,940129.0,2951.0,1086274.0
Bihar,Sheikhpura,258714,1875,300172,Bihar,Sheikhpura,258886.0,1901.0,300545.0
Bihar,Darbhanga,1747457,9677,1919032,Bihar,Darbhanga,1751148.0,10358.0,1922912.0
Bihar,Madhubani,1813958,9548,1897278,Bihar,Madhubani,1817571.0,9932.0,1901793.0
Bihar,Samastipur,1703239,8485,1935162,Bihar,Samastipur,1705862.0,8713.0,1938416.0
Bihar,Patna,3218865,20738,3811617,Bihar,Patna,3221613.0,21729.0,3816513.0
Bihar,Begusarai,1227806,7314,1397769,Bihar,Begusarai,1237062.0,7629.0,1404079.0
Bihar,Bhojpur,1110088,3684,1342019,Bihar,Bhojpur,1113702.0,3808.0,1344793.0
Bihar,Buxar,843734,3788,953433,Bihar,Buxar,846106.0,4183.0,955257.0
Bihar,Khagaria,652374,4306,735973,Bihar,Khagaria,657707.0,4755.0,739221.0
Bihar,Saran,1675540,6332,1924634,Bihar,Saran,1685251.0,6637.0,1933920.0
Bihar,Siwan,1527856,3544,1891267,Bihar,Siwan,1538731.0,3777.0,1902440.0
Bihar,Gopalganj,1152931,3031,1254804,Bihar,Gopalganj,1154967.0,3103.0,1256465.0
Bihar,East Champaran,2507996,8672,2671956,Bihar,East Champaran,2514592.0,8954.0,2679625.0
Bihar,West Champaran,1639836,9542,1919965,Bihar,West Champaran,1642993.0,9883.0,1922827.0
Bihar,Jamui,717030,3329,836879,Bihar,Jamui,726068.0,3627.0,842769.0
Chandigarh,Chandigarh,828264,5895,1096246,Chandigarh,Chandigarh,829563.0,6135.0,1098259.0
Chhattisgarh,Raipur,1445648,15468,1708659,Chhattisgarh,Raipur,1449513.0,16272.0,1711875.0
Chhattisgarh,Balod,445155,5290,513048,Chhattisgarh,Balod,446150.0,5446.0,513665.0
Chhattisgarh,Baloda bazar,420677,4409,627948,Chhattisgarh,Baloda bazar,420796.0,4491.0,628017.0
Chhattisgarh,Balrampur,315942,535,476833,Chhattisgarh,Balrampur,316210.0,541.0,477028.0
Chhattisgarh,Bastar,331877,4477,441158,Chhattisgarh,Bastar,332021.0,4518.0,441266.0
Chhattisgarh,Bemetara,326022,3294,446183,Chhattisgarh,Bemetara,326022.0,3294.0,446183.0
Chhattisgarh,Bijapur,74062,2892,109698,Chhattisgarh,Bijapur,74137.0,2911.0,109782.0
Chhattisgarh,Bilaspur,1008878,6871,1130471,Chhattisgarh,Bilaspur,1013532.0,7134.0,1133524.0
Chhattisgarh,Dantewada,148238,2469,167889,Chhattisgarh,Dantewada,148649.0,2469.0,168076.0
Chhattisgarh,Dhamtari,392646,2522,474651,Chhattisgarh,Dhamtari,393651.0,2578.0,475135.0
Chhattisgarh,Durg,889481,17759,1050800,Chhattisgarh,Durg,891190.0,18191.0,1051972.0
Chhattisgarh,Gariaband,210552,1456,300552,Chhattisgarh,Gariaband,210705.0,1513.0,300667.0
Chhattisgarh,Janjgir-Champa,621282,1826,864489,Chhattisgarh,Janjgir-Champa,621693.0,1861.0,864751.0
Chhattisgarh,Jashpur,385957,1329,488360,Chhattisgarh,Jashpur,386017.0,1440.0,488447.0
Chhattisgarh,Kanker,406305,5137,474214,Chhattisgarh,Kanker,406430.0,5153.0,474306.0
Chhattisgarh,Kondagaon,279175,801,338634,Chhattisgarh,Kondagaon,280127.0,801.0,339148.0
Chhattisgarh,Korba,492912,1807,679028,Chhattisgarh,Korba,493149.0,1841.0,679192.0
Chhattisgarh,Koriya,355187,1002,395982,Chhattisgarh,Koriya,357237.0,1023.0,397061.0
Chhattisgarh,Mahasamund,804422,8629,793717,Chhattisgarh,Mahasamund,805196.0,8780.0,794211.0
Chhattisgarh,Mungeli,210942,3339,336627,Chhattisgarh,Mungeli,211296.0,3425.0,336845.0
Chhattisgarh,Narayanpur,36078,259,55717,Chhattisgarh,Narayanpur,37329.0,259.0,56531.0
Chhattisgarh,Raigarh,1121229,6857,1146585,Chhattisgarh,Raigarh,1121389.0,6885.0,1146705.0
Chhattisgarh,Rajnandgaon,865698,9485,1012576,Chhattisgarh,Rajnandgaon,866364.0,9615.0,1013028.0
Chhattisgarh,Sukma,116897,1675,144145,Chhattisgarh,Sukma,116914.0,1675.0,144166.0
Chhattisgarh,Surajpur,449398,1070,512281,Chhattisgarh,Surajpur,449792.0,1072.0,512537.0
Chhattisgarh,Surguja,423394,2595,574191,Chhattisgarh,Surguja,423684.0,2624.0,574396.0
Chhattisgarh,Kawardha,379504,2723,476465,Chhattisgarh,Kawardha,380020.0,2803.0,476885.0
Chhattisgarh,Gaurela Pendra Marwahi,131302,783,172454,Chhattisgarh,Gaurela Pendra Marwahi,131491.0,798.0,172576.0
Dadra and Nagar Haveli and Daman and Diu,Daman,210324,619,316593,Dadra and Nagar Haveli and Daman and Diu,Daman,210371.0,628.0,316638.0
Dadra and Nagar Haveli and Daman and Diu,Diu,37014,797,40600,Dadra and Nagar Haveli and Daman and Diu,Diu,37016.0,797.0,40602.0
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,305408,1272,513219,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,305902.0,1286.0,513691.0
Delhi,New Delhi,901688,25289,1176628,Delhi,New Delhi,901733.0,25514.0,1176674.0
Delhi,Central Delhi,1001011,10061,1544630,Delhi,Central Delhi,1001372.0,10170.0,1546583.0
Delhi,West Delhi,1319244,11168,1736958,Delhi,West Delhi,1319275.0,11208.0,1736996.0
Delhi,North West Delhi,1357247,9281,1847729,Delhi,North West Delhi,1357587.0,9382.0,1848176.0
Delhi,South East Delhi,1163686,11883,1604641,Delhi,South East Delhi,1165374.0,12211.0,1606873.0
Delhi,East Delhi,987182,6787,1275083,Delhi,East Delhi,987978.0,7027.0,1276911.0
Delhi,North Delhi,1102719,6959,1578056,Delhi,North Delhi,1102737.0,6971.0,1578086.0
Delhi,North East Delhi,774161,12515,1169416,Delhi,North East Delhi,776831.0,12941.0,1172534.0
Delhi,Shahdara,812478,6722,1118880,Delhi,Shahdara,812773.0,6814.0,1119351.0
Delhi,South Delhi,1038434,13696,1438551,Delhi,South Delhi,1038528.0,13855.0,1438671.0
Delhi,South West Delhi,1464019,12270,1821467,Delhi,South West Delhi,1464721.0,12427.0,1823357.0
Goa,North Goa,534740,3978,671938,Goa,North Goa,534842.0,4001.0,672040.0
Goa,South Goa,602825,5013,722980,Goa,South Goa,602910.0,5080.0,723060.0
Gujarat,Gandhinagar,837298,10890,939644,Gujarat,Gandhinagar,837465.0,10934.0,939770.0
Gujarat,Ahmedabad,1360423,10826,1551168,Gujarat,Ahmedabad,1360626.0,10864.0,1551374.0
Gujarat,Vadodara,1154121,15949,1267445,Gujarat,Vadodara,1154567.0,16136.0,1267705.0
Gujarat,Kheda,1487720,15643,1638380,Gujarat,Kheda,1488271.0,15864.0,1638852.0
Gujarat,Surendranagar,1257711,8331,1359537,Gujarat,Surendranagar,1258662.0,8385.0,1360257.0
Gujarat,Aravalli,731252,12996,772360,Gujarat,Aravalli,731281.0,13023.0,772377.0
Gujarat,Banaskantha,2215968,12199,2465292,Gujarat,Banaskantha,2216749.0,12296.0,2465854.0
Gujarat,Mehsana,1353267,22047,1521257,Gujarat,Mehsana,1353533.0,22307.0,1521474.0
Gujarat,Patan,859212,12047,928771,Gujarat,Patan,859644.0,12178.0,929117.0
