18/01/2022,Bihar,West Champaran,3872857,379950,507,2210006,1651850,11001,1932764,1928256,835,125455,3747402
18/01/2022,Bihar,Jamui,1763413,212521,492,1023304,735778,4331,851430,907363,288,80871,1682542
18/01/2022,Chandigarh,Chandigarh,1939392,40010,76,1097446,833976,7970,1104320,826758,344,53568,1885824
18/01/2022,Chhattisgarh,Raipur,3343636,90099,265,1866131,1458293,19212,1719103,1604883,437,818074,2518485
18/01/2022,Chhattisgarh,Balod,1087484,109723,92,633112,448355,6017,515114,566179,174,135271,952213
18/01/2022,Chhattisgarh,Baloda bazar,1286138,85120,92,859330,421912,4896,628795,652327,120,194706,1091432
18/01/2022,Chhattisgarh,Balrampur,935111,152013,99,617088,317393,630,477878,456497,106,73829,861282
18/01/2022,Chhattisgarh,Bastar,914572,33030,53,576883,332878,4811,441902,467708,151,107410,807162
18/01/2022,Chhattisgarh,Bemetara,929490,127410,172,596564,329235,3691,447860,477818,119,96579,832911
18/01/2022,Chhattisgarh,Bijapur,206552,10324,34,128618,74583,3351,110147,93021,33,23820,182732
18/01/2022,Chhattisgarh,Bilaspur,2305071,97722,239,1273030,1023755,8286,1142048,1154396,341,274255,2030816
18/01/2022,Chhattisgarh,Dantewada,345962,11970,42,193810,149095,3057,168307,174537,61,54043,291919
18/01/2022,Chhattisgarh,Dhamtari,1009674,69695,94,610966,395782,2926,476686,529928,133,131464,878210
18/01/2022,Chhattisgarh,Durg,2197760,2059887,390,1264669,911464,21627,1066355,1109498,279,380118,1815068
18/01/2022,Chhattisgarh,Gariaband,628481,121896,113,415228,211634,1619,301299,325491,72,70859,557622
18/01/2022,Chhattisgarh,Janjgir-Champa,1758071,151296,176,1132380,623451,2240,865950,889679,202,187097,1570974
18/01/2022,Chhattisgarh,Jashpur,1007081,188720,198,618442,387048,1591,489682,515678,130,117979,889102
18/01/2022,Chhattisgarh,Kanker,961524,410230,156,548334,407411,5779,474984,480647,114,128211,833313
18/01/2022,Chhattisgarh,Kondagaon,702814,137170,82,418475,283344,995,341484,360234,101,61125,641689
18/01/2022,Chhattisgarh,Korba,1366798,85337,146,868449,496070,2279,681270,683066,182,103803,1262995
18/01/2022,Chhattisgarh,Koriya,800228,169258,106,440289,358812,1127,398404,400606,90,93586,706642
18/01/2022,Chhattisgarh,Mahasamund,1646349,178254,268,828540,808200,9609,796226,840311,203,118328,1528021
18/01/2022,Chhattisgarh,Mungeli,694806,28603,82,478043,212948,3815,337874,353063,54,63324,631482
18/01/2022,Chhattisgarh,Narayanpur,113175,35720,18,71446,41451,278,58751,54142,4,14708,98467
18/01/2022,Chhattisgarh,Raigarh,2278156,395044,72,1147049,1123480,7627,1149519,1120706,302,334878,1943278
18/01/2022,Chhattisgarh,Rajnandgaon,2126758,84655,113,1236927,878683,11148,1020977,1094351,282,495950,1630808
18/01/2022,Chhattisgarh,Sukma,272268,9030,31,152933,117371,1964,144513,125756,35,12620,259648
18/01/2022,Chhattisgarh,Surajpur,1037549,632971,203,571578,464748,1223,520776,515390,160,140932,896617
18/01/2022,Chhattisgarh,Surguja,1157926,104320,134,728338,426703,2885,576250,578634,157,103454,1054472
