,,,15/01/2022,15/01/2022,15/01/2022,,,,16/01/2022,16/01/2022,16/01/2022
State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
OR,Odisha,Dhenkanal,605817,3167,733938,OR,Odisha,Dhenkanal,608535.0,3334.0,735533.0
OR,Odisha,Gajapati,246906,2128,302314,OR,Odisha,Gajapati,247352.0,2259.0,302881.0
OR,Odisha,Ganjam,2204823,21922,2239770,OR,Odisha,Ganjam,2208302.0,22876.0,2246419.0
OR,Odisha,Jagatsinghpur,610754,8218,706129,OR,Odisha,Jagatsinghpur,612099.0,8370.0,707051.0
OR,Odisha,Jajpur,1004801,5896,1214073,OR,Odisha,Jajpur,1009919.0,6466.0,1217019.0
OR,Odisha,Jharsuguda,361180,4266,445337,OR,Odisha,Jharsuguda,362740.0,4448.0,446463.0
OR,Odisha,Kalahandi,763566,5781,907015,OR,Odisha,Kalahandi,764528.0,5855.0,909165.0
OR,Odisha,Kandhamal,341043,5040,428267,OR,Odisha,Kandhamal,341977.0,5052.0,428888.0
OR,Odisha,Kendrapara,734401,5234,830672,OR,Odisha,Kendrapara,735955.0,5491.0,831766.0
OR,Odisha,Kendujhar,980260,7692,1113590,OR,Odisha,Kendujhar,982532.0,7889.0,1115114.0
OR,Odisha,Khordha,1918173,29574,2212747,OR,Odisha,Khordha,1919756.0,31359.0,2214416.0
OR,Odisha,Koraput,783644,8809,918821,OR,Odisha,Koraput,785814.0,9008.0,920481.0
OR,Odisha,Malkangiri,333894,3390,384878,OR,Odisha,Malkangiri,336706.0,3513.0,386654.0
OR,Odisha,Mayurbhanj,1053712,7904,1343782,OR,Odisha,Mayurbhanj,1059611.0,8135.0,1347361.0
OR,Odisha,Nabarangapur,578568,5551,684799,OR,Odisha,Nabarangapur,581056.0,5721.0,686633.0
OR,Odisha,Nayagarh,544266,4344,596647,OR,Odisha,Nayagarh,545980.0,4473.0,597956.0
OR,Odisha,Nuapada,312117,2734,385289,OR,Odisha,Nuapada,313127.0,2829.0,386643.0
OR,Odisha,Puri,1017573,7953,1109276,OR,Odisha,Puri,1020450.0,8855.0,1111344.0
OR,Odisha,Rayagada,495861,6048,539029,OR,Odisha,Rayagada,497053.0,6164.0,540019.0
OR,Odisha,Sambalpur,697523,6458,816413,OR,Odisha,Sambalpur,698703.0,6541.0,817317.0
OR,Odisha,Subarnapur,423944,5032,447841,OR,Odisha,Subarnapur,424745.0,5196.0,448534.0
OR,Odisha,Sundargarh,988286,8871,1211566,OR,Odisha,Sundargarh,989482.0,9000.0,1213209.0
PY,Puducherry,Karaikal,88815,139,104022,PY,Puducherry,Karaikal,88832.0,142.0,104045.0
PY,Puducherry,Mahe,31962,116,30783,PY,Puducherry,Mahe,31962.0,116.0,30783.0
PY,Puducherry,Puducherry,445490,1849,559323,PY,Puducherry,Puducherry,445803.0,1934.0,559641.0
PY,Puducherry,Yanam,22204,113,28001,PY,Puducherry,Yanam,22204.0,113.0,28001.0
PB,Punjab,Amritsar,847802,3432,1242435,PB,Punjab,Amritsar,855849.0,3638.0,1248612.0
PB,Punjab,Barnala,199229,333,303229,PB,Punjab,Barnala,200117.0,405.0,303880.0
PB,Punjab,Bathinda,419247,1276,653901,PB,Punjab,Bathinda,422680.0,1383.0,657539.0
PB,Punjab,Faridkot,235825,338,319292,PB,Punjab,Faridkot,237450.0,366.0,320659.0
PB,Punjab,Fatehgarh Sahib,249380,372,365722,PB,Punjab,Fatehgarh Sahib,250394.0,442.0,366737.0
PB,Punjab,Fazilka,316127,1406,474785,PB,Punjab,Fazilka,318115.0,1475.0,476385.0
PB,Punjab,Ferozepur,263764,550,415793,PB,Punjab,Ferozepur,266457.0,570.0,417643.0
PB,Punjab,Gurdaspur,702092,1500,865771,PB,Punjab,Gurdaspur,709757.0,1693.0,871510.0
PB,Punjab,Hoshiarpur,786443,1149,938961,PB,Punjab,Hoshiarpur,789335.0,1233.0,941429.0
PB,Punjab,Jalandhar,1084789,4205,1408591,PB,Punjab,Jalandhar,1095293.0,4433.0,1415713.0
PB,Punjab,Kapurthala,350698,1215,451567,PB,Punjab,Kapurthala,351951.0,1261.0,452565.0
PB,Punjab,Ludhiana,1502059,7967,2539548,PB,Punjab,Ludhiana,1510127.0,8139.0,2547118.0
PB,Punjab,Mansa,234564,198,357526,PB,Punjab,Mansa,237501.0,209.0,359926.0
PB,Punjab,Moga,395904,837,534191,PB,Punjab,Moga,401865.0,924.0,538604.0
PB,Punjab,Pathankot,325242,1235,403412,PB,Punjab,Pathankot,325983.0,1641.0,404065.0
PB,Punjab,Patiala,666043,1387,988197,PB,Punjab,Patiala,672194.0,1493.0,993390.0
PB,Punjab,Rupnagar,291691,438,372883,PB,Punjab,Rupnagar,292456.0,455.0,373499.0
PB,Punjab,Sangrur,429351,550,686442,PB,Punjab,Sangrur,433875.0,576.0,690245.0
PB,Punjab,S.A.S. Nagar,603083,2157,930875,PB,Punjab,S.A.S. Nagar,605312.0,2257.0,933381.0
PB,Punjab,Shahid Bhagat Singh Nagar,303287,641,361076,PB,Punjab,Shahid Bhagat Singh Nagar,306304.0,713.0,362904.0
PB,Punjab,Sri Muktsar Sahib,248594,267,409182,PB,Punjab,Sri Muktsar Sahib,257576.0,306.0,415672.0
PB,Punjab,Tarn Taran,308052,218,489914,PB,Punjab,Tarn Taran,310443.0,224.0,491271.0
RJ,Rajasthan,Ajmer,1627541,26996,1825213,RJ,Rajasthan,Ajmer,1628231.0,27271.0,1825902.0
RJ,Rajasthan,Alwar,2066502,15974,2602098,RJ,Rajasthan,Alwar,2076511.0,16574.0,2611039.0
RJ,Rajasthan,Banswara,910530,11815,1082479,RJ,Rajasthan,Banswara,911110.0,11979.0,1082894.0
RJ,Rajasthan,Baran,668397,8698,806383,RJ,Rajasthan,Baran,670268.0,8917.0,807565.0
RJ,Rajasthan,Barmer,1192850,10392,1537699,RJ,Rajasthan,Barmer,1193822.0,10894.0,1538919.0
RJ,Rajasthan,Bharatpur,1198561,6419,1487379,RJ,Rajasthan,Bharatpur,1216461.0,6524.0,1496643.0
RJ,Rajasthan,Bhilwara,1378641,19190,1567896,RJ,Rajasthan,Bhilwara,1378841.0,19204.0,1568134.0
RJ,Rajasthan,Bikaner,1262851,10449,1578085,RJ,Rajasthan,Bikaner,1264717.0,10873.0,1579673.0
RJ,Rajasthan,Bundi,710207,8990,842195,RJ,Rajasthan,Bundi,713309.0,9310.0,843988.0
RJ,Rajasthan,Chittorgarh,946878,11873,1096981,RJ,Rajasthan,Chittorgarh,946969.0,11891.0,1097083.0
RJ,Rajasthan,Churu,1196586,12014,1352333,RJ,Rajasthan,Churu,1196754.0,12029.0,1352475.0
RJ,Rajasthan,Dausa,778603,3684,973116,RJ,Rajasthan,Dausa,779444.0,4102.0,973939.0
RJ,Rajasthan,Dholpur,542625,6388,697585,RJ,Rajasthan,Dholpur,542874.0,6525.0,697872.0
RJ,Rajasthan,Dungarpur,642274,12065,754185,RJ,Rajasthan,Dungarpur,644499.0,12154.0,755847.0
RJ,Rajasthan,Hanumangarh,1145258,5150,1313455,RJ,Rajasthan,Hanumangarh,1145539.0,5168.0,1313724.0
RJ,Rajasthan,Jaipur,2192831,16213,2948063,RJ,Rajasthan,Jaipur,2195206.0,16969.0,2951495.0
RJ,Rajasthan,Jaipur,1473584,7380,1943106,RJ,Rajasthan,Jaipur,1476960.0,7711.0,1945709.0
RJ,Rajasthan,Jaisalmer,325520,3435,441002,RJ,Rajasthan,Jaisalmer,326073.0,3482.0,441649.0
RJ,Rajasthan,Jalore,834628,6017,995465,RJ,Rajasthan,Jalore,835161.0,6123.0,996228.0
RJ,Rajasthan,Jhalawar,799757,5837,944101,RJ,Rajasthan,Jhalawar,800897.0,6009.0,944857.0
RJ,Rajasthan,Jhunjhunu,1380217,16995,1459646,RJ,Rajasthan,Jhunjhunu,1380732.0,17346.0,1460088.0
RJ,Rajasthan,Jodhpur,1894002,28307,2400247,RJ,Rajasthan,Jodhpur,1895283.0,28626.0,2401563.0
RJ,Rajasthan,Karauli,699514,4720,878105,RJ,Rajasthan,Karauli,702151.0,4920.0,880440.0
RJ,Rajasthan,Kota,1269891,15127,1486744,RJ,Rajasthan,Kota,1271724.0,15959.0,1489086.0
RJ,Rajasthan,Nagaur,1967032,23463,2150200,RJ,Rajasthan,Nagaur,1969249.0,24278.0,2152105.0
RJ,Rajasthan,Pali,1010796,12682,1195996,RJ,Rajasthan,Pali,1011108.0,12849.0,1196289.0
RJ,Rajasthan,Pratapgarh,650066,5859,681905,RJ,Rajasthan,Pratapgarh,652749.0,6037.0,683499.0
RJ,Rajasthan,Rajsamand,597699,6402,703372,RJ,Rajasthan,Rajsamand,598178.0,6519.0,703909.0
RJ,Rajasthan,Sawai Madhopur,715250,4480,921867,RJ,Rajasthan,Sawai Madhopur,717839.0,4589.0,926793.0
RJ,Rajasthan,Sikar,1597752,9462,1854439,RJ,Rajasthan,Sikar,1597988.0,9494.0,1854591.0
RJ,Rajasthan,Sirohi,583139,4489,663617,RJ,Rajasthan,Sirohi,584329.0,4704.0,665403.0
RJ,Rajasthan,Ganganagar,985541,8243,1266749,RJ,Rajasthan,Ganganagar,990354.0,8452.0,1269744.0
RJ,Rajasthan,Tonk,776843,5741,905222,RJ,Rajasthan,Tonk,777426.0,5838.0,905640.0
RJ,Rajasthan,Udaipur,1525554,22618,1979094,RJ,Rajasthan,Udaipur,1527047.0,22932.0,1981168.0
SK,Sikkim,East Sikkim,251095,2793,291920,SK,Sikkim,East Sikkim,251095.0,2794.0,291920.0
SK,Sikkim,North Sikkim,29224,478,36223,SK,Sikkim,North Sikkim,29224.0,478.0,36223.0
SK,Sikkim,South Sikkim,112054,1130,129707,SK,Sikkim,South Sikkim,112054.0,1130.0,129707.0
SK,Sikkim,West Sikkim,94867,2372,109763,SK,Sikkim,West Sikkim,94867.0,2372.0,109763.0
TN,Tamil Nadu,Pudukkottai,343325,115,373054,TN,Tamil Nadu,Pudukkottai,343604.0,115.0,373585.0
TN,Tamil Nadu,Ariyalur,431159,511,504635,TN,Tamil Nadu,Ariyalur,432491.0,605.0,505301.0
TN,Tamil Nadu,Salem,523446,783,621578,TN,Tamil Nadu,Salem,523476.0,787.0,621658.0
TN,Tamil Nadu,Chengalpattu,1120394,5899,1414960,TN,Tamil Nadu,Chengalpattu,1121408.0,6009.0,1416059.0
TN,Tamil Nadu,Chennai,3885875,18655,5012517,TN,Tamil Nadu,Chennai,3888126.0,19213.0,5015524.0
TN,Tamil Nadu,Tiruvannamalai,415564,252,493994,TN,Tamil Nadu,Tiruvannamalai,415723.0,353.0,494171.0
TN,Tamil Nadu,Coimbatore,2126938,6726,2696518,TN,Tamil Nadu,Coimbatore,2127989.0,6879.0,2697504.0
TN,Tamil Nadu,Cuddalore,1588791,1217,1829917,TN,Tamil Nadu,Cuddalore,1590338.0,1250.0,1831870.0
TN,Tamil Nadu,Dharmapuri,578646,721,703869,TN,Tamil Nadu,Dharmapuri,578693.0,724.0,703932.0
TN,Tamil Nadu,Dindigul,674286,1160,778929,TN,Tamil Nadu,Dindigul,674485.0,1187.0,779082.0
TN,Tamil Nadu,Erode,1182939,2081,1405754,TN,Tamil Nadu,Erode,1183332.0,2120.0,1406076.0
TN,Tamil Nadu,Kallakurichi,806510,777,852876,TN,Tamil Nadu,Kallakurichi,806599.0,777.0,852950.0
TN,Tamil Nadu,Kancheepuram,524866,810,749951,TN,Tamil Nadu,Kancheepuram,525505.0,874.0,750590.0
TN,Tamil Nadu,Kanyakumari,892314,1941,1002197,TN,Tamil Nadu,Kanyakumari,892777.0,1980.0,1002580.0
TN,Tamil Nadu,Karur,562416,662,655941,TN,Tamil Nadu,Karur,562551.0,674.0,656081.0
TN,Tamil Nadu,Thoothukkudi,280622,409,311930,TN,Tamil Nadu,Thoothukkudi,280753.0,420.0,312081.0
TN,Tamil Nadu,Krishnagiri,810894,1023,1098080,TN,Tamil Nadu,Krishnagiri,810962.0,1023.0,1098146.0
TN,Tamil Nadu,Madurai,1276989,3576,1544394,TN,Tamil Nadu,Madurai,1277861.0,3736.0,1545427.0
TN,Tamil Nadu,Nagapattinam,700592,790,798114,TN,Tamil Nadu,Nagapattinam,700786.0,802.0,798411.0
TN,Tamil Nadu,Namakkal,811808,1321,972178,TN,Tamil Nadu,Namakkal,811910.0,1337.0,972264.0
TN,Tamil Nadu,Nilgiris,511748,2828,508244,TN,Tamil Nadu,Nilgiris,511895.0,2897.0,508366.0
TN,Tamil Nadu,Dindigul,552638,933,603555,TN,Tamil Nadu,Dindigul,552811.0,946.0,603761.0
TN,Tamil Nadu,Ramanathapuram,348692,335,374500,TN,Tamil Nadu,Ramanathapuram,348982.0,341.0,374760.0
TN,Tamil Nadu,Perambalur,277207,505,308473,TN,Tamil Nadu,Perambalur,277271.0,505.0,308512.0
TN,Tamil Nadu,Thiruvallur,345215,2109,437245,TN,Tamil Nadu,Thiruvallur,345433.0,2120.0,437421.0
TN,Tamil Nadu,Pudukkottai,463669,563,500861,TN,Tamil Nadu,Pudukkottai,465014.0,571.0,501681.0
TN,Tamil Nadu,Ramanathapuram,392240,170,416774,TN,Tamil Nadu,Ramanathapuram,392569.0,171.0,417011.0
TN,Tamil Nadu,Ranipet,453174,407,557547,TN,Tamil Nadu,Ranipet,453504.0,416.0,557874.0
TN,Tamil Nadu,Salem,1228248,3675,1462643,TN,Tamil Nadu,Salem,1228504.0,3702.0,1462932.0
TN,Tamil Nadu,Sivaganga,651001,891,728048,TN,Tamil Nadu,Sivaganga,651527.0,920.0,728419.0
TN,Tamil Nadu,Virudhunagar,592243,668,683201,TN,Tamil Nadu,Virudhunagar,592630.0,678.0,684877.0
TN,Tamil Nadu,Tenkasi,644899,579,703199,TN,Tamil Nadu,Tenkasi,645048.0,601.0,703338.0
TN,Tamil Nadu,Thanjavur,1064712,1705,1247495,TN,Tamil Nadu,Thanjavur,1065754.0,1773.0,1248139.0
TN,Tamil Nadu,Theni,582963,934,633642,TN,Tamil Nadu,Theni,583013.0,951.0,633697.0
TN,Tamil Nadu,Thoothukkudi,474236,831,712808,TN,Tamil Nadu,Thoothukkudi,475385.0,848.0,713592.0
TN,Tamil Nadu,Tiruchirappalli,1284542,2859,1540359,TN,Tamil Nadu,Tiruchirappalli,1285168.0,2901.0,1540893.0
TN,Tamil Nadu,Tirunelveli,641957,1316,807926,TN,Tamil Nadu,Tirunelveli,642581.0,1380.0,808469.0
TN,Tamil Nadu,Tirupathur,437136,479,534592,TN,Tamil Nadu,Tirupathur,437423.0,488.0,534910.0
TN,Tamil Nadu,Tiruppur,1327987,1295,1725028,TN,Tamil Nadu,Tiruppur,1328318.0,1312.0,1725420.0
TN,Tamil Nadu,Thiruvallur,807595,754,1081239,TN,Tamil Nadu,Thiruvallur,808558.0,780.0,1082164.0
TN,Tamil Nadu,Tiruvannamalai,931393,695,1030978,TN,Tamil Nadu,Tiruvannamalai,931814.0,700.0,1031469.0
TN,Tamil Nadu,Thiruvarur,590790,332,669656,TN,Tamil Nadu,Thiruvarur,590913.0,337.0,669846.0
TN,Tamil Nadu,Vellore,740222,2017,910830,TN,Tamil Nadu,Vellore,741442.0,2025.0,911863.0
TN,Tamil Nadu,Viluppuram,1111380,839,1267138,TN,Tamil Nadu,Viluppuram,1112362.0,846.0,1267864.0
TN,Tamil Nadu,Virudhunagar,400403,1032,411458,TN,Tamil Nadu,Virudhunagar,400558.0,1079.0,411592.0
TG,Telangana,Adilabad,384409,3176,458147,TG,Telangana,Adilabad,387911.0,3268.0,460222.0
TG,Telangana,Bhadradri Kothagudem,609963,7190,715911,TG,Telangana,Bhadradri Kothagudem,619104.0,8754.0,721342.0
TG,Telangana,Hyderabad,2631686,18437,3474115,TG,Telangana,Hyderabad,2634996.0,18993.0,3477086.0
TG,Telangana,Jagtial,546254,1832,597870,TG,Telangana,Jagtial,549843.0,1964.0,599992.0
TG,Telangana,Jangaon,332648,2309,370556,TG,Telangana,Jangaon,336403.0,2392.0,372824.0
TG,Telangana,Jayashankar Bhupalapally,260684,1265,292675,TG,Telangana,Jayashankar Bhupalapally,261404.0,1316.0,293151.0
TG,Telangana,Jogulamba Gadwal,297862,1780,378117,TG,Telangana,Jogulamba Gadwal,300243.0,1784.0,379882.0
TG,Telangana,Kamareddy,476092,2780,530452,TG,Telangana,Kamareddy,479237.0,2918.0,533306.0
TG,Telangana,Karimnagar,756318,3684,794009,TG,Telangana,Karimnagar,759034.0,3831.0,795718.0
TG,Telangana,Khammam,901555,6588,985138,TG,Telangana,Khammam,907973.0,6960.0,989348.0
TG,Telangana,Komaram Bheem,196386,911,266716,TG,Telangana,Komaram Bheem,199842.0,958.0,268694.0
TG,Telangana,Mahabubabad,458529,2887,506486,TG,Telangana,Mahabubabad,461514.0,2995.0,508257.0
TG,Telangana,Mahabubnagar,521959,4411,628025,TG,Telangana,Mahabubnagar,527354.0,4505.0,631015.0
TG,Telangana,Mancherial,438409,2286,502245,TG,Telangana,Mancherial,439610.0,2352.0,503047.0
TG,Telangana,Medak,453971,1449,512115,TG,Telangana,Medak,455545.0,1555.0,513145.0
TG,Telangana,Medchal Malkajgiri,1930646,9036,2442626,TG,Telangana,Medchal Malkajgiri,1932234.0,9473.0,2444268.0
TG,Telangana,Mulugu,179761,1177,193235,TG,Telangana,Mulugu,180600.0,1181.0,193736.0
TG,Telangana,Nagarkurnool,423983,1351,518085,TG,Telangana,Nagarkurnool,426680.0,1366.0,519752.0
TG,Telangana,Nalgonda,793125,4611,993385,TG,Telangana,Nalgonda,813479.0,5200.0,1004070.0
TG,Telangana,Narayanpet,292104,1241,346365,TG,Telangana,Narayanpet,293108.0,1247.0,347545.0
TG,Telangana,Nirmal,367779,2522,444264,TG,Telangana,Nirmal,371333.0,2549.0,446344.0
TG,Telangana,Nizamabad,799020,2579,885405,TG,Telangana,Nizamabad,800842.0,2606.0,886457.0
TG,Telangana,Peddapalli,420102,2378,519275,TG,Telangana,Peddapalli,421646.0,2440.0,520506.0
TG,Telangana,Rajanna Sircilla,355201,844,368778,TG,Telangana,Rajanna Sircilla,355813.0,862.0,369268.0
TG,Telangana,Ranga Reddy,1956854,12260,2620141,TG,Telangana,Ranga Reddy,1960435.0,12615.0,2622912.0
TG,Telangana,Sangareddy,788249,5493,1074226,TG,Telangana,Sangareddy,792997.0,5764.0,1077352.0
TG,Telangana,Siddipet,503045,3873,614893,TG,Telangana,Siddipet,510215.0,4117.0,618884.0
TG,Telangana,Suryapet,569763,2296,654422,TG,Telangana,Suryapet,574394.0,2379.0,657081.0
TG,Telangana,Vikarabad,355544,2162,521114,TG,Telangana,Vikarabad,359404.0,2182.0,523330.0
TG,Telangana,Wanaparthy,280470,2087,353969,TG,Telangana,Wanaparthy,284290.0,2343.0,357010.0
TG,Telangana,Warangal Rural,313535,1261,399937,TG,Telangana,Warangal Rural,319255.0,1321.0,403243.0
TG,Telangana,Warangal Urban,703615,3898,784752,TG,Telangana,Warangal Urban,705306.0,4141.0,787416.0
TG,Telangana,Yadadri Bhuvanagiri,450504,1769,500202,TG,Telangana,Yadadri Bhuvanagiri,452737.0,1776.0,501441.0
TR,Tripura,Dhalai,217604,1601,260145,TR,Tripura,Dhalai,217622.0,1612.0,260188.0
TR,Tripura,Gomati,274078,759,300810,TR,Tripura,Gomati,274078.0,759.0,300829.0
TR,Tripura,Khowai,162166,1137,190847,TR,Tripura,Khowai,162212.0,1159.0,190888.0
TR,Tripura,North Tripura,245986,853,280399,TR,Tripura,North Tripura,245986.0,853.0,280399.0
TR,Tripura,Sipahijala,279041,970,322025,TR,Tripura,Sipahijala,279048.0,1062.0,322036.0
TR,Tripura,South Tripura,267467,1479,298627,TR,Tripura,South Tripura,267467.0,1481.0,298627.0
TR,Tripura,Unokoti,138379,262,162710,TR,Tripura,Unokoti,138383.0,269.0,162711.0
TR,Tripura,West Tripura,566148,6521,647521,TR,Tripura,West Tripura,566154.0,6537.0,647524.0
UP,Uttar Pradesh,Agra,1824742,8208,2605784,UP,Uttar Pradesh,Agra,1834649.0,8459.0,2622707.0
UP,Uttar Pradesh,Aligarh,1468178,10076,2081425,UP,Uttar Pradesh,Aligarh,1482052.0,10480.0,2108293.0
UP,Uttar Pradesh,Ambedkar Nagar,993091,2203,1366728,UP,Uttar Pradesh,Ambedkar Nagar,1003220.0,2319.0,1373114.0
UP,Uttar Pradesh,Amethi,873078,2623,1091272,UP,Uttar Pradesh,Amethi,878890.0,2768.0,1097444.0
UP,Uttar Pradesh,Amroha,727421,2341,988888,UP,Uttar Pradesh,Amroha,740421.0,2649.0,999131.0
UP,Uttar Pradesh,Auraiya,507056,2168,757262,UP,Uttar Pradesh,Auraiya,517976.0,2290.0,767653.0
UP,Uttar Pradesh,Ayodhya,1092787,7386,1431058,UP,Uttar Pradesh,Ayodhya,1101726.0,7682.0,1436856.0
UP,Uttar Pradesh,Azamgarh,2003662,9804,2814972,UP,Uttar Pradesh,Azamgarh,2043087.0,10272.0,2845729.0
UP,Uttar Pradesh,Budaun,1338680,2702,2009535,UP,Uttar Pradesh,Budaun,1356364.0,3030.0,2031303.0
UP,Uttar Pradesh,Baghpat,690689,2136,858705,UP,Uttar Pradesh,Baghpat,691609.0,2137.0,859328.0
UP,Uttar Pradesh,Bahraich,1515120,3631,2036595,UP,Uttar Pradesh,Bahraich,1553387.0,3797.0,2067229.0
UP,Uttar Pradesh,Balrampur,930058,6259,1269333,UP,Uttar Pradesh,Balrampur,942791.0,6950.0,1286239.0
UP,Uttar Pradesh,Ballia,1366065,4754,1672535,UP,Uttar Pradesh,Ballia,1383657.0,5028.0,1724548.0
UP,Uttar Pradesh,Banda,737555,1063,1071598,UP,Uttar Pradesh,Banda,745830.0,1125.0,1078956.0
UP,Uttar Pradesh,Barabanki,1333164,7572,1829891,UP,Uttar Pradesh,Barabanki,1350579.0,7689.0,1840700.0
UP,Uttar Pradesh,Bareilly,1987118,8771,2768975,UP,Uttar Pradesh,Bareilly,2019100.0,9215.0,2797890.0
UP,Uttar Pradesh,Basti,1162948,5528,1511671,UP,Uttar Pradesh,Basti,1170417.0,5686.0,1525189.0
UP,Uttar Pradesh,Bhadohi,647708,1064,873287,UP,Uttar Pradesh,Bhadohi,657600.0,1131.0,881449.0
UP,Uttar Pradesh,Bijnor,1502040,7253,2056595,UP,Uttar Pradesh,Bijnor,1526064.0,7415.0,2074471.0
UP,Uttar Pradesh,Bulandshahr,1377753,7110,1954107,UP,Uttar Pradesh,Bulandshahr,1392694.0,7687.0,1973408.0
UP,Uttar Pradesh,Chandauli,845161,4006,1122516,UP,Uttar Pradesh,Chandauli,856334.0,4257.0,1136078.0
UP,Uttar Pradesh,Chitrakoot,382105,503,563388,UP,Uttar Pradesh,Chitrakoot,389071.0,714.0,569545.0
UP,Uttar Pradesh,Deoria,1404515,9662,1588674,UP,Uttar Pradesh,Deoria,1419409.0,9904.0,1600890.0
UP,Uttar Pradesh,Etah,738833,2096,1015332,UP,Uttar Pradesh,Etah,747457.0,2228.0,1022274.0
UP,Uttar Pradesh,Etawah,694656,2618,1056603,UP,Uttar Pradesh,Etawah,697372.0,2676.0,1061151.0
UP,Uttar Pradesh,Farrukhabad,665019,2100,1004176,UP,Uttar Pradesh,Farrukhabad,683063.0,2266.0,1021386.0
UP,Uttar Pradesh,Fatehpur,1177754,5800,1480726,UP,Uttar Pradesh,Fatehpur,1205276.0,6053.0,1502026.0
UP,Uttar Pradesh,Firozabad,947212,2413,1451818,UP,Uttar Pradesh,Firozabad,975901.0,2937.0,1471307.0
UP,Uttar Pradesh,Gautam Buddha Nagar,1444804,10583,2119795,UP,Uttar Pradesh,Gautam Buddha Nagar,1446430.0,11320.0,2123206.0
UP,Uttar Pradesh,Ghaziabad,1930008,14867,2660164,UP,Uttar Pradesh,Ghaziabad,1940293.0,15608.0,2671167.0
UP,Uttar Pradesh,Ghazipur,1474038,1816,2150686,UP,Uttar Pradesh,Ghazipur,1536409.0,2026.0,2207218.0
UP,Uttar Pradesh,Gonda,1377801,4164,1898972,UP,Uttar Pradesh,Gonda,1405305.0,4340.0,1917358.0
UP,Uttar Pradesh,Gorakhpur,1946033,7589,2502037,UP,Uttar Pradesh,Gorakhpur,1955731.0,7764.0,2538357.0
UP,Uttar Pradesh,Hamirpur,439199,1394,652947,UP,Uttar Pradesh,Hamirpur,442243.0,1766.0,657687.0
UP,Uttar Pradesh,Hapur,577789,1940,796253,UP,Uttar Pradesh,Hapur,583697.0,2050.0,802992.0
UP,Uttar Pradesh,Hardoi,1727531,3249,2280087,UP,Uttar Pradesh,Hardoi,1752420.0,3436.0,2310447.0
UP,Uttar Pradesh,Hathras,679161,4211,895965,UP,Uttar Pradesh,Hathras,690138.0,4298.0,908214.0
UP,Uttar Pradesh,Jalaun,685563,1920,948511,UP,Uttar Pradesh,Jalaun,703881.0,2093.0,969229.0
UP,Uttar Pradesh,Jaunpur,2091756,5807,2633686,UP,Uttar Pradesh,Jaunpur,2135887.0,6765.0,2661419.0
UP,Uttar Pradesh,Jhansi,863085,7845,1256026,UP,Uttar Pradesh,Jhansi,874870.0,8195.0,1265804.0
UP,Uttar Pradesh,Kannauj,703403,2723,1079663,UP,Uttar Pradesh,Kannauj,715830.0,2759.0,1089211.0
UP,Uttar Pradesh,Kanpur Dehat,812604,4901,1108281,UP,Uttar Pradesh,Kanpur Dehat,823893.0,5024.0,1120568.0
UP,Uttar Pradesh,Kanpur Nagar,1947068,12811,2696613,UP,Uttar Pradesh,Kanpur Nagar,1968785.0,13393.0,2716409.0
UP,Uttar Pradesh,Kasganj,544128,1910,784981,UP,Uttar Pradesh,Kasganj,548599.0,2092.0,793344.0
UP,Uttar Pradesh,Kaushambi,669797,3936,915993,UP,Uttar Pradesh,Kaushambi,674231.0,4167.0,923388.0
UP,Uttar Pradesh,Kushinagar,1396780,6587,1713763,UP,Uttar Pradesh,Kushinagar,1428923.0,6983.0,1789777.0
UP,Uttar Pradesh,Lakhimpur Kheri,1387570,3121,2048918,UP,Uttar Pradesh,Lakhimpur Kheri,1446616.0,3373.0,2090731.0
UP,Uttar Pradesh,Lalitpur,517540,564,700220,UP,Uttar Pradesh,Lalitpur,528765.0,750.0,713606.0
UP,Uttar Pradesh,Lucknow,2689280,29749,3511411,UP,Uttar Pradesh,Lucknow,2706374.0,30389.0,3524347.0
UP,Uttar Pradesh,Maharajganj,1180477,7545,1393212,UP,Uttar Pradesh,Maharajganj,1197386.0,7740.0,1423916.0
UP,Uttar Pradesh,Mahoba,329512,1344,478024,UP,Uttar Pradesh,Mahoba,338394.0,1628.0,487548.0
UP,Uttar Pradesh,Mainpuri,807419,3263,1210646,UP,Uttar Pradesh,Mainpuri,827294.0,4242.0,1224545.0
UP,Uttar Pradesh,Mathura,987970,3787,1506214,UP,Uttar Pradesh,Mathura,1017061.0,4099.0,1536563.0
UP,Uttar Pradesh,Mau,936249,4310,1271011,UP,Uttar Pradesh,Mau,944303.0,4656.0,1281511.0
UP,Uttar Pradesh,Meerut,1455527,8547,1992755,UP,Uttar Pradesh,Meerut,1461421.0,8860.0,1998918.0
UP,Uttar Pradesh,Mirzapur,1140074,1711,1551399,UP,Uttar Pradesh,Mirzapur,1152617.0,1739.0,1564957.0
UP,Uttar Pradesh,Moradabad,1074838,6672,1622081,UP,Uttar Pradesh,Moradabad,1097422.0,6912.0,1640324.0
UP,Uttar Pradesh,Muzaffarnagar,1169042,6872,1674008,UP,Uttar Pradesh,Muzaffarnagar,1195893.0,7101.0,1699715.0
UP,Uttar Pradesh,Pilibhit,938750,3730,1328822,UP,Uttar Pradesh,Pilibhit,954649.0,3950.0,1344002.0
