,,,15/01/2022,15/01/2022,15/01/2022,,,,16/01/2022,16/01/2022,16/01/2022
State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered),State_Code,State,District,Second Dose Administered,Precautionary Dose Administered,Male(Doses Administered)
CT,Chhattisgarh,Balrampur,315942,535,476833,CT,Chhattisgarh,Balrampur,316210.0,541.0,477028.0
CT,Chhattisgarh,Bastar,331877,4477,441158,CT,Chhattisgarh,Bastar,332021.0,4518.0,441266.0
CT,Chhattisgarh,Bametara,326022,3294,446183,CT,Chhattisgarh,Bametara,326022.0,3294.0,446183.0
CT,Chhattisgarh,Bijapur,74062,2892,109698,CT,Chhattisgarh,Bijapur,74137.0,2911.0,109782.0
CT,Chhattisgarh,Bilaspur,1008878,6871,1130471,CT,Chhattisgarh,Bilaspur,1013532.0,7134.0,1133524.0
CT,Chhattisgarh,Dakshin Bastar Dantewada,148238,2469,167889,CT,Chhattisgarh,Dakshin Bastar Dantewada,148649.0,2469.0,168076.0
CT,Chhattisgarh,Dhamtari,392646,2522,474651,CT,Chhattisgarh,Dhamtari,393651.0,2578.0,475135.0
CT,Chhattisgarh,Durg,889481,17759,1050800,CT,Chhattisgarh,Durg,891190.0,18191.0,1051972.0
CT,Chhattisgarh,Gariaband,210552,1456,300552,CT,Chhattisgarh,Gariaband,210705.0,1513.0,300667.0
CT,Chhattisgarh,Gaurela Pendra Marwahi,131302,783,172454,CT,Chhattisgarh,Gaurela Pendra Marwahi,131491.0,798.0,172576.0
CT,Chhattisgarh,Janjgir Champa,621282,1826,864489,CT,Chhattisgarh,Janjgir Champa,621693.0,1861.0,864751.0
CT,Chhattisgarh,Jashpur,385957,1329,488360,CT,Chhattisgarh,Jashpur,386017.0,1440.0,488447.0
CT,Chhattisgarh,Uttar Bastar Kanker,406305,5137,474214,CT,Chhattisgarh,Uttar Bastar Kanker,406430.0,5153.0,474306.0
CT,Chhattisgarh,Kabeerdham,379504,2723,476465,CT,Chhattisgarh,Kabeerdham,380020.0,2803.0,476885.0
CT,Chhattisgarh,Kondagaon,279175,801,338634,CT,Chhattisgarh,Kondagaon,280127.0,801.0,339148.0
CT,Chhattisgarh,Korba,492912,1807,679028,CT,Chhattisgarh,Korba,493149.0,1841.0,679192.0
CT,Chhattisgarh,Koriya,355187,1002,395982,CT,Chhattisgarh,Koriya,357237.0,1023.0,397061.0
CT,Chhattisgarh,Mahasamund,804422,8629,793717,CT,Chhattisgarh,Mahasamund,805196.0,8780.0,794211.0
CT,Chhattisgarh,Mungeli,210942,3339,336627,CT,Chhattisgarh,Mungeli,211296.0,3425.0,336845.0
CT,Chhattisgarh,Narayanpur,36078,259,55717,CT,Chhattisgarh,Narayanpur,37329.0,259.0,56531.0
CT,Chhattisgarh,Raigarh,1121229,6857,1146585,CT,Chhattisgarh,Raigarh,1121389.0,6885.0,1146705.0
CT,Chhattisgarh,Raipur,1445648,15468,1708659,CT,Chhattisgarh,Raipur,1449513.0,16272.0,1711875.0
CT,Chhattisgarh,Rajnandgaon,865698,9485,1012576,CT,Chhattisgarh,Rajnandgaon,866364.0,9615.0,1013028.0
CT,Chhattisgarh,Sukma,116897,1675,144145,CT,Chhattisgarh,Sukma,116914.0,1675.0,144166.0
CT,Chhattisgarh,Surajpur,449398,1070,512281,CT,Chhattisgarh,Surajpur,449792.0,1072.0,512537.0
CT,Chhattisgarh,Surguja,423394,2595,574191,CT,Chhattisgarh,Surguja,423684.0,2624.0,574396.0
DN,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,305408,1272,513219,DN,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,305902.0,1286.0,513691.0
DN,Dadra and Nagar Haveli and Daman and Diu,Daman,210324,619,316593,DN,Dadra and Nagar Haveli and Daman and Diu,Daman,210371.0,628.0,316638.0
DN,Dadra and Nagar Haveli and Daman and Diu,Diu,37014,797,40600,DN,Dadra and Nagar Haveli and Daman and Diu,Diu,37016.0,797.0,40602.0
